run,group,scenarios,provider_error_scenarios,outcome_tiers,any_exact_sublabel_pct,all_exact_sublabels_pct,strict_exact_set_pct,any_correct_top_level_pct,all_correct_top_levels_pct,mean_exact_gold_coverage_pct,mean_graded_retrieval_score_pct,micro_exact_precision_pct,micro_exact_recall_pct,micro_exact_f1_pct,scenario_hits_at_1_pct,scenario_hits_at_2_pct,all_gold_within_top_2_pct,gold_instance_recall_at_1_pct,gold_instance_recall_at_2_pct,gold_label_instances,exact_gold_label_hits,category_only_gold_label_hits
run1,Labor & Employment,27,0,"{'all_exact_sublabels': {'n': 20, 'pct': 74.07}, 'some_exact_sublabels': {'n': 6, 'pct': 22.22}, 'top_level_only': {'n': 1, 'pct': 3.7}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",96.3,74.07,11.11,100.0,96.3,84.57,91.67,56.41,83.33,67.28,77.78,92.59,66.67,43.75,77.08,48,40,7
run1,Real Property,40,0,"{'all_exact_sublabels': {'n': 28, 'pct': 70.0}, 'some_exact_sublabels': {'n': 10, 'pct': 25.0}, 'top_level_only': {'n': 1, 'pct': 2.5}, 'no_correct_category': {'n': 1, 'pct': 2.5}}",95.0,70.0,12.5,97.5,87.5,82.92,88.12,45.19,78.33,57.32,77.5,87.5,62.5,51.67,71.67,60,47,8
run1,Taxation,6,0,"{'all_exact_sublabels': {'n': 3, 'pct': 50.0}, 'some_exact_sublabels': {'n': 3, 'pct': 50.0}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,50.0,0.0,100.0,83.33,72.22,83.33,38.89,63.64,48.28,83.33,100.0,33.33,45.45,54.55,11,7,3
run1,Wills & Trusts,25,0,"{'all_exact_sublabels': {'n': 20, 'pct': 80.0}, 'some_exact_sublabels': {'n': 5, 'pct': 20.0}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,80.0,8.0,100.0,100.0,90.0,95.0,46.48,82.5,59.46,84.0,100.0,80.0,52.5,80.0,40,33,7
run1,Workers' Comp,19,0,"{'all_exact_sublabels': {'n': 17, 'pct': 89.47}, 'some_exact_sublabels': {'n': 2, 'pct': 10.53}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,89.47,10.53,100.0,100.0,94.74,97.37,43.14,91.67,58.67,94.74,100.0,84.21,75.0,87.5,24,22,2
run2,Administrative Law,33,0,"{'all_exact_sublabels': {'n': 26, 'pct': 78.79}, 'some_exact_sublabels': {'n': 6, 'pct': 18.18}, 'top_level_only': {'n': 1, 'pct': 3.03}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",96.97,78.79,9.09,100.0,93.94,88.64,92.8,45.88,85.11,59.62,93.94,96.97,78.79,68.09,82.98,47,40,5
run2,Bankruptcy,21,0,"{'all_exact_sublabels': {'n': 18, 'pct': 85.71}, 'some_exact_sublabels': {'n': 3, 'pct': 14.29}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,85.71,14.29,100.0,100.0,93.65,96.83,50.0,90.0,64.29,95.24,95.24,76.19,66.67,83.33,30,27,3
run2,Business and Corporate,28,0,"{'all_exact_sublabels': {'n': 20, 'pct': 71.43}, 'some_exact_sublabels': {'n': 8, 'pct': 28.57}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,71.43,3.57,100.0,89.29,86.31,90.77,48.65,80.0,60.5,82.14,96.43,67.86,51.11,77.78,45,36,6
run2,Consumer Law,32,0,"{'all_exact_sublabels': {'n': 25, 'pct': 78.12}, 'some_exact_sublabels': {'n': 5, 'pct': 15.62}, 'top_level_only': {'n': 2, 'pct': 6.25}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",93.75,78.12,12.5,100.0,96.88,85.94,92.19,41.86,79.55,54.85,87.5,93.75,71.88,63.64,75.0,44,35,8
run2,Criminal Law,36,0,"{'all_exact_sublabels': {'n': 32, 'pct': 88.89}, 'some_exact_sublabels': {'n': 3, 'pct': 8.33}, 'top_level_only': {'n': 1, 'pct': 2.78}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",97.22,88.89,16.67,100.0,94.44,92.82,95.6,48.31,87.76,62.32,88.89,97.22,88.89,65.31,87.76,49,43,4
run2,Debtor/Creditor,28,0,"{'all_exact_sublabels': {'n': 12, 'pct': 42.86}, 'some_exact_sublabels': {'n': 9, 'pct': 32.14}, 'top_level_only': {'n': 7, 'pct': 25.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",75.0,42.86,7.14,100.0,92.86,58.93,77.68,33.8,53.33,41.38,46.43,71.43,42.86,28.89,51.11,45,24,19
run2,Family Law,35,0,"{'all_exact_sublabels': {'n': 27, 'pct': 77.14}, 'some_exact_sublabels': {'n': 8, 'pct': 22.86}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,77.14,2.86,100.0,94.29,89.05,93.33,54.0,86.89,66.6,94.29,100.0,65.71,54.1,80.33,61,53,6
run2,General Litigation,48,0,"{'all_exact_sublabels': {'n': 35, 'pct': 72.92}, 'some_exact_sublabels': {'n': 10, 'pct': 20.83}, 'top_level_only': {'n': 3, 'pct': 6.25}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",93.75,72.92,4.17,100.0,89.58,82.99,89.32,48.91,77.11,59.85,85.42,93.75,68.75,49.4,73.49,83,64,14
run2,Intellectual Property,28,0,"{'all_exact_sublabels': {'n': 25, 'pct': 89.29}, 'some_exact_sublabels': {'n': 3, 'pct': 10.71}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,89.29,32.14,100.0,96.43,94.64,96.43,58.33,92.11,71.43,96.43,100.0,82.14,71.05,86.84,38,35,2
run2,International Law,24,0,"{'all_exact_sublabels': {'n': 20, 'pct': 83.33}, 'some_exact_sublabels': {'n': 3, 'pct': 12.5}, 'top_level_only': {'n': 1, 'pct': 4.17}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",95.83,83.33,29.17,100.0,95.83,89.58,93.75,55.93,86.21,67.85,83.33,95.83,79.17,68.97,82.76,29,25,3
run2,Labor & Employment,27,0,"{'all_exact_sublabels': {'n': 21, 'pct': 77.78}, 'some_exact_sublabels': {'n': 6, 'pct': 22.22}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,77.78,11.11,100.0,92.59,88.27,92.59,56.96,85.42,68.35,85.19,92.59,66.67,47.92,77.08,48,41,5
run2,Real Property,40,0,"{'all_exact_sublabels': {'n': 27, 'pct': 67.5}, 'some_exact_sublabels': {'n': 10, 'pct': 25.0}, 'top_level_only': {'n': 2, 'pct': 5.0}, 'no_correct_category': {'n': 1, 'pct': 2.5}}",92.5,67.5,10.0,97.5,87.5,80.42,86.88,41.67,75.0,53.57,77.5,87.5,62.5,51.67,70.0,60,45,10
run2,Taxation,6,0,"{'all_exact_sublabels': {'n': 3, 'pct': 50.0}, 'some_exact_sublabels': {'n': 3, 'pct': 50.0}, 'top_level_only': {'n': 0, 'pct': 0.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",100.0,50.0,0.0,100.0,66.67,72.22,79.17,41.18,63.64,50.0,83.33,100.0,33.33,45.45,54.55,11,7,2
run2,Wills & Trusts,25,0,"{'all_exact_sublabels': {'n': 19, 'pct': 76.0}, 'some_exact_sublabels': {'n': 5, 'pct': 20.0}, 'top_level_only': {'n': 1, 'pct': 4.0}, 'no_correct_category': {'n': 0, 'pct': 0.0}}",96.0,76.0,4.0,100.0,92.0,86.0,91.5,43.66,77.5,55.86,84.0,96.0,76.0,52.5,75.0,40,31,7
